publication_id,study_id,es_id,reference,title,year,location,domain,intervention_category,intervention_technique,type_experiment,population,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,cohens_d,variance_d,approximation
132,187,405,Geier et al. (2012),Red Potato Chips: Segmentation cues can substantially decrease food intake,2012,1,food,structure,composition,conventional_lab,1,59,38,19,19,0,45.25,14.02,23.68,7.79,1.9019,0.1529,0
213,340,455,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,other,structure,default,artefactual_field,1,817,817,409,408,0,5.53,3.42,11.22,3.38,1.6735,0.0066,1
21,26,36,Wansink & van Ittersum (2003),Bottoms up! The influence of elongation on pouring and consumption volume,2003,1,food,structure,default,framed_field,1,45,45,23,22,0,1.62,NA,2.06,NA,1.6288,0.1184,1
26,31,41,Shevchenko et al. (2014),Change and status quo in decisions with defaults: The effect of incidental emotions depends on the type of default,2014,1,other,structure,default,artefactual_field,1,67,67,32,35,1,0.13,NA,0.83,NA,1.553889,0.07784062,0
23,28,38,Hou (2017),Can interface cues nudge modeling of food consumption? Experiments on a food-ordering website,2017,1,food,information,social_reference,framed_field,1,60,60,30,30,0,8.59,4.02,3.47,2.41,1.5448,0.0866,1
203,284,322,Bohnet et al. (2016),When performance trumps gender bias: Joint vs separate evaluation,2016,1,other,structure,composition,conventional_lab,1,61,61,26,35,1,0.65,NA,0.03,NA,1.527323,0.08615359,0
89,124,379,Wansink et al. (2017),Larger partitions lead to larger sales: Divided grocery carts alter purchase norms and increase sales,2017,0,food,structure,composition,framed_field,1,86,60,34,26,0,11.61,3.64,17.54,4.19,1.5257,0.0873,0
125,177,199,Shealy et al. (2018),Providing descriptive norms during engineering design can encourage more sustainable infrastructure,2018,1,environment,information,social_reference,artefactual_field,1,67,67,24,43,0,93,37.38,140.5,28.36,1.4916,0.0815,0
154,313,409,Van Kleef et al. (2018),The effect of a default-based nudge on the choice of whole wheat bread,2018,0,food,structure,default,conventional_lab,1,109,109,52,57,1,0.21,NA,0.88,NA,1.482042,0.04685008,0
100,138,159,Meeker et al. (2014),Nudging guideline-concordant antibiotic prescribing: A randomized clinical trial,2014,1,health,assistance,commitment,framed_field,1,14,14,7,7,0,9.9,13.63372,-9.8,13.02628,1.4775,0.3637,0
212,334,449,Loeb et al. (2017),The application of defaults to optimize parents' health-based choices for children,2017,1,health,structure,default,framed_field,1,58,58,22,36,1,0.272727273,NA,0.916666667,NA,1.456973,0.09153206,1
17,20,30,Wansink & Kim (2005),Bad popcorn in big buckets: Portion size can influence intake as much as taste,2005,1,food,structure,default,framed_field,1,78,78,38,40,0,58.9,16.7,85.6,19.8,1.4545,0.0649,0
88,122,141,Wansink et al. (2014),"Larger bowl size increases the amount of cereal children request, consume, and waste",2014,1,food,structure,default,framed_field,0,69,69,35,34,0,46.1,15.1,24.7,14.9,1.4265,0.0727,1
206,321,436,Ebeling & Lotz (2015),Domestic uptake of green energy promoted by opt-out tariffs,2015,0,environment,structure,default,natural_field,1,41952,41952,20976,20976,1,0.072,NA,0.691,NA,1.419442,0.00011936,1
126,178,200,Privitera & Zuraikat (2014),Proximity of foods in a competitive food environment influences consumption of a low calorie and a high calorie food,2014,1,food,structure,effort,conventional_lab,1,56,38,21,17,0,9.5,7,2,1.6,1.4083,0.1325,0
126,178,201,Privitera & Zuraikat (2014),Proximity of foods in a competitive food environment influences consumption of a low calorie and a high calorie food,2014,1,food,structure,effort,conventional_lab,1,56,39,21,18,0,30,22.6,6.2,5.2,1.4012,0.1283,0
64,90,107,"Wansink, Cardello et al. (2005)",Fluid consumption and the potential role of canteen shape in minimizing dehydration,2005,1,food,structure,default,conventional_lab,1,50,50,25,25,0,16.64,5.12,23.02,3.91,1.4005,0.0996,0
206,322,437,Ebeling & Lotz (2015),Domestic uptake of green energy promoted by opt-out tariffs,2015,1,environment,structure,default,artefactual_field,1,290,290,145,145,1,0.3416,NA,0.938,NA,1.389859,0.01712363,1
41,58,70,Everett et al. (2015),Doing good by doing nothing? The role of social norms in explaining default effects in altruistic context,2015,1,pro-social,structure,default,artefactual_field,1,143,143,72,71,1,0.19,NA,0.81,NA,1.337485,0.03422818,1
81,115,376,Taylor et al. (2015),Improving social norms interventions: Rank-framing increases excessive alcohol drinkers' information-seeking,2015,0,health,information,social_reference,conventional_lab,1,58,41,21,20,1,0.048,NA,NA,NA,1.330393,0.1192037,0
185,259,423,Klotz et al. (2010),Unintended anchors: Building rating systems and energy performance goals for U.S. buildings,2010,1,environment,structure,default,artefactual_field,1,76,52,20,32,0,29,17.6,54,20,1.3073,0.0977,0
177,249,281,Kuester et al. (2015),The role of defaults in preventing innovation rejection,2015,0,environment,structure,default,artefactual_field,1,240,240,120,120,1,0.317,NA,0.9,NA,1.302002,0.02019835,0
160,225,254,Bachman & Katzev (1982),The effects of non-contingent free bus tickets and personal commitment on urban bus ridership,1982,1,environment,assistance,commitment,framed_field,1,37,37,20,17,1,0.05,NA,0.59,NA,1.297169,0.131562,0
50,69,353,Engell et al. (1996),Effects of effort and social modeling on drinking in humans,1996,1,food,structure,effort,framed_field,1,36,24,12,12,0,444,259,186.7,115.2,1.2837,0.201,1
50,69,81,Engell et al. (1996),Effects of effort and social modeling on drinking in humans,1996,1,food,structure,effort,framed_field,1,36,24,12,12,0,444,259,197.1,100.2,1.2573,0.1996,1
63,89,105,Knowles et al. (2019),Exploring the underpinning mechanisms of the proximity effect within a competitive food environment,2019,0,food,structure,effort,conventional_lab,1,48,25,13,12,0,11.26,17.72,62.83,54.24,1.2563,0.1918,0
213,339,454,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,other,structure,default,artefactual_field,1,779,779,390,389,0,4.49,3.14,8.76,3.79,1.2271,0.0061,1
210,329,444,Johnson et al. (2002),"Defaults, framing and privacy: Why opting in-opting out",2002,1,other,structure,default,artefactual_field,1,138,138,69,69,1,0.482,NA,0.963,NA,1.219684,0.03437546,1
64,90,366,"Wansink, Cardello et al. (2005)",Fluid consumption and the potential role of canteen shape in minimizing dehydration,2005,1,food,structure,default,conventional_lab,1,50,50,25,25,0,16.33,4.3,21.81,4.85,1.1957,0.0943,0
193,267,303,Bergeron et al. (2019),Using insights from behavioral economics to nudge individuals towards healthier choices when eating out: A restaurant experiment,2019,0,food,structure,default,framed_field,1,98,98,48,50,1,0.31,NA,0.86,NA,1.193599,0.0481021,0
148,211,238,Tavernier & Adam (2017),Text message intervention improves objective sleep hours among adolescents: The moderating role of race-ethnicity,2017,1,health,assistance,reminder,framed_field,0,20,20,10,10,0,6.68,1.2,7.8,0.59,1.184506,0.235076,1
134,191,215,"Van Kleef, Shimizu et al. (2012)",Serving bowl selection biases the amount of food served,2012,1,food,structure,default,conventional_lab,1,67,67,37,30,0,301.3,129.6,176.7,72.8,1.1536,0.0703,0
203,318,430,Bohnet et al. (2016),When performance trumps gender bias: Joint vs separate evaluation,2016,1,other,structure,composition,conventional_lab,1,61,61,30,31,1,0.53,NA,0.06,NA,1.135898,0.07616734,0
58,82,361,Keller et al. (2011),Enhanced active choice: A new method to motivate behavior change,2011,1,health,structure,default,artefactual_field,1,110,55,28,27,1,0.45,NA,0.93,NA,1.135437,0.08447148,1
89,123,378,Wansink et al. (2017),Larger partitions lead to larger sales: Divided grocery carts alter purchase norms and increase sales,2017,1,food,structure,composition,artefactual_field,1,107,73,36,37,0,5.61,3.99,12.51,7.64,1.1276,0.0635,0
116,161,401,Raynor & Wing (2007),Package unit size and amount of food: Do both influence intake?,2007,1,food,structure,default,conventional_lab,1,28,28,14,14,0,2782.2,1174.5,5028.1,2596.1,1.1147,0.165,0
121,171,193,Isaksen et al. (2019),Positive framing does not solve the tragedy of the commons,2019,0,pro-social,information,translation,conventional_lab,1,108,108,52,56,0,0.26,0.1,0.46,0.23,1.1135,0.0428,0
32,45,56,Marchiori et al. (2012),Container size influences snack food intake independently of portion size,2012,0,food,structure,default,conventional_lab,1,59,59,30,29,0,30.4,29.0293,69.5,43.08132,1.0609,0.0774,0
217,347,463,Ansher et al. (2014),Better medicine by default,2014,1,health,structure,default,artefactual_field,1,45,45,21,24,0,NA,NA,NA,NA,1.0553,0.1017,1
135,192,216,Shu et al. (2012),Signing at the beginning makes ethics salient and decreases dishonest self-reports in comparison to signing at the end,2012,1,pro-social,assistance,commitment,conventional_lab,1,68,68,33,35,1,3.94,4.07,0.77,1.44,1.0509,0.067,0
153,217,244,Kressel & Chapman (2007),The default effect in the end-of-life medical treatment preferences,2007,1,health,structure,default,conventional_lab,1,51,51,25,26,0,NA,NA,NA,NA,1.033,0.0889,0
71,100,119,Pichert & Katsikopoulos (2008),Green defaults: Information presentation and pro-environmental behaviour,2008,0,environment,structure,default,conventional_lab,1,65,65,41,24,0,6.59,5.53,13,7.34,1.0253,0.0741,0
160,226,255,Bachman & Katzev (1982),The effects of non-contingent free bus tickets and personal commitment on urban bus ridership,1982,1,environment,assistance,commitment,framed_field,1,38,38,21,17,1,0.43,NA,0.88,NA,1.013932,0.1199697,0
213,341,456,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,other,structure,default,artefactual_field,1,681,681,341,340,0,4.57,3.03,8.13,3.95,1.0115,0.0066,1
130,185,209,Goldstein et al. (2011),Reciprocity by proxy: A novel influence strategy for stimulating cooperation,2011,1,pro-social,structure,consequence,artefactual_field,1,79,79,40,39,1,0.211,NA,0.683,NA,0.9909828,0.05685651,1
217,347,462,Ansher et al. (2014),Better medicine by default,2014,1,health,structure,default,artefactual_field,1,45,45,24,21,0,NA,NA,NA,NA,0.9833,0.1,0
136,195,222,Wansink & Hanks (2013),Slim by design: Serving healthy foods first in buffet lines improves overall meal selection,2013,1,food,structure,effort,natural_field,1,124,124,65,59,1,0.754,NA,0.288,NA,0.9707187,0.03613334,0
186,260,292,Van der Zanden et al. (2015),Using a verbal prompt to increase protein consumption in a hospital setting: A field study,2015,0,food,assistance,reminder,natural_field,1,155,155,93,62,1,0.065,NA,0.452,NA,0.9590542,0.02984877,0
157,221,250,Neale & Bazerman (1985),The effects of framing and negotiators overconfidence on bargaining behaviors and outcomes,1985,1,other,information,translation,conventional_lab,1,100,100,50,50,0,1.1,1.7,-1,2.6,0.956,0.0446,1
204,292,434,Goswami & Urminsky (2016),When should the ask be a nudge? The effect of default amounts on charitable donations,2016,1,pro-social,structure,default,artefactual_field,1,76,76,24,52,1,0.2916667,NA,0.4592308,NA,0.9551841,0.1251002,0
169,239,270,Schwartz (2007),The influence of a verbal prompt on school lunch fruit consumption: A pilot study,2007,1,food,assistance,reminder,natural_field,0,325,325,176,149,1,0.65,NA,0.97,NA,0.9179377,0.01368955,1
80,114,133,Trevana et al. (2006),Impact of privacy legislation on the number and characteristics of people who are recruited for a research: A randomized controlled trial,2006,0,other,structure,default,natural_field,1,152,152,92,60,1,0.5109,NA,0.9,NA,0.9055544,0.03023369,0
199,274,311,Shealy & Klotz (2015),Well-endowed rating systems: How modified defaults can lead to more sustainable performance,2015,1,environment,structure,default,conventional_lab,1,41,41,25,16,0,44.68,19.8,62.39,19.36,0.9021,0.1124,0
213,342,457,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,other,structure,default,artefactual_field,1,390,390,195,195,0,4.08,2.46,6.8,3.5,0.8992,0.0113,1
118,166,187,Tannenbaum et al. (2013),Partitioning menu items to nudge single-item choice,2013,1,other,structure,composition,artefactual_field,1,198,198,99,99,1,0.43,NA,0.84,NA,0.888224,0.0221943,1
112,308,398,Young et al. (2009),Opt-out testing for stigmatized diseases: A social psychological approach to understanding the potential effect of recommendations for routine HIV testing,2009,1,health,structure,default,conventional_lab,1,38,38,19,19,1,0.455,NA,0.857,NA,0.8853167,0.1155761,1
208,324,439,Haward et al. (2012),Default options and neonatal resuscitation decisions,2012,1,health,structure,default,artefactual_field,1,291,291,147,144,1,0.39,NA,0.8,NA,0.8653156,0.01503371,0
213,336,451,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,other,structure,default,framed_field,1,429,429,215,214,0,7.03,3.78,9.56,1.71,0.8617,0.0102,1
207,323,438,Johnson & Goldstein (2003),Do defaults save lives?,2003,1,pro-social,structure,default,artefactual_field,1,108,108,54,54,1,0.42,NA,0.82,NA,0.8551889,0.04042291,1
13,16,24,Samek et al. (2016),An experimental study of the decision process with interactive technology,2016,1,other,structure,effort,conventional_lab,1,80,80,40,40,0,4.605,0.2863564,4.82,0.1897367,0.8497,0.0545,1
17,299,339,Wansink & Kim (2005),Bad popcorn in big buckets: Portion size can influence intake as much as taste,2005,1,food,structure,default,framed_field,1,79,79,39,40,0,38,16.1,50.8,14.1,0.8466,0.0552,0
89,124,143,Wansink et al. (2017),Larger partitions lead to larger sales: Divided grocery carts alter purchase norms and increase sales,2017,0,food,structure,composition,framed_field,1,86,60,34,26,0,11.61,3.64,14.97,4.42,0.8411,0.0738,0
209,325,440,Jin (2011),Improving response rates in web surveys with default setting: The effects of default on web survey participation and permission,2011,1,other,structure,default,framed_field,1,197,197,95,102,1,0.421,NA,0.814,NA,0.8376454,0.02211107,0
117,164,185,Dinner et al. (2011),Partitioning default effects: Why people choose not to choose,2011,1,environment,structure,default,artefactual_field,1,126,126,63,63,1,0.19,NA,0.58,NA,0.8294334,0.03447603,1
118,168,189,Tannenbaum et al. (2013),Partitioning menu items to nudge single-item choice,2013,1,food,structure,composition,artefactual_field,1,302,302,151,151,1,0.3995,NA,0.793,NA,0.8284922,0.01438146,1
20,23,33,"Wansink, Painter et al. (2005)",Bottomless bowls: Why visual cues of portion size may influence intake,2005,1,food,structure,default,conventional_lab,1,54,54,23,31,0,14.7,8.4,8.5,6.1,0.8252,0.082,0
130,182,206,Goldstein et al. (2011),Reciprocity by proxy: A novel influence strategy for stimulating cooperation,2011,1,pro-social,structure,consequence,conventional_lab,1,45,45,15,30,1,0.474,NA,0.846,NA,0.8162793,0.1074035,1
135,192,217,Shu et al. (2012),Signing at the beginning makes ethics salient and decreases dishonest self-reports in comparison to signing at the end,2012,1,pro-social,assistance,commitment,conventional_lab,1,68,68,33,35,0,9.62,6.2,5.27,4.43,0.8113,0.0637,0
172,242,274,Larrick & Soll (2008),The MPG illusion,2008,1,environment,information,translation,artefactual_field,1,171,171,78,93,1,0.25,NA,0.64,NA,0.8073929,0.02547929,0
130,183,207,Goldstein et al. (2011),Reciprocity by proxy: A novel influence strategy for stimulating cooperation,2011,1,pro-social,structure,consequence,artefactual_field,1,22,22,11,11,1,0.444,NA,0.818,NA,0.8015392,0.1964197,1
37,51,62,Maas et al. (2011),Do distant foods decrease intake? The effect of food accessibility on consumption,2011,0,food,structure,effort,conventional_lab,1,77,49,23,26,0,10.3,10.16,3.77,6.02,0.7942,0.0884,0
118,165,186,Tannenbaum et al. (2013),Partitioning menu items to nudge single-item choice,2013,1,other,structure,composition,artefactual_field,1,298,298,150,149,1,0.417,NA,0.78225,NA,0.7665994,0.01436081,1
55,78,91,McCalley & Midden (2002),Energy conservation through product-integrated feedback: The roles of goal-setting and social orientation,2002,0,environment,assistance,commitment,artefactual_field,1,75,50,25,25,0,NA,NA,NA,NA,0.7586,0.0858,0
191,265,301,Shealy et al. (2016),Using framing effects to inform more sustainable infrastructure design decisions,2016,1,environment,structure,default,artefactual_field,1,65,65,33,32,0,81,40.1,112,42.6,0.7497,0.0659,0
203,320,432,Bohnet et al. (2016),When performance trumps gender bias: Joint vs separate evaluation,2016,1,other,structure,composition,conventional_lab,1,53,53,22,31,1,0.5,NA,0.16,NA,0.7477626,0.0829876,0
185,259,291,Klotz et al. (2010),Unintended anchors: Building rating systems and energy performance goals for U.S. buildings,2010,1,environment,structure,default,artefactual_field,1,76,56,24,32,0,40,16.9,54,20,0.747,0.0779,0
178,251,283,Rothman et al. (1999),The systematic influence of gain- and loss-framed messages on interest in and use of different types of health behavior,1999,1,health,information,translation,conventional_lab,1,60,60,30,30,1,0.37,NA,0.73,NA,0.7410174,0.07124256,1
136,195,221,Wansink & Hanks (2013),Slim by design: Serving healthy foods first in buffet lines improves overall meal selection,2013,1,food,structure,effort,natural_field,1,124,124,65,59,1,0.538,NA,0.864,NA,0.7393268,0.03453782,0
203,319,431,Bohnet et al. (2016),When performance trumps gender bias: Joint vs separate evaluation,2016,1,other,structure,composition,conventional_lab,1,49,49,20,29,1,0.35,NA,0.07,NA,0.730577,0.08992911,0
135,193,219,Shu et al. (2012),Signing at the beginning makes ethics salient and decreases dishonest self-reports in comparison to signing at the end,2012,1,pro-social,assistance,commitment,conventional_lab,1,60,60,30,30,0,7.06,7.02,3.23,2.73,0.7191,0.071,0
14,298,335,Yeomans & Herberich (2014),An experimental test of the effect of negative social norms on energy-efficient investments,2014,1,environment,information,social_reference,framed_field,1,221,77,43,34,1,0.326,NA,0.676,NA,0.7151439,0.05598856,0
187,261,293,Rosenkranz et al. (2017),Using behavioral insights to make firms more energy efficient: A field experiment on the effects of improved information,2017,0,environment,structure,effort,natural_field,1,339,339,170,169,1,0.14,NA,0.46,NA,0.7115434,0.01254626,0
35,48,59,Halpern et al. (2013),Default options in advance directives influence how patients set goals for end-of-life care,2013,1,health,structure,default,framed_field,1,89,89,49,40,1,0.43,NA,0.77,NA,0.7108985,0.04824736,0
131,186,210,Catlin & Wang (2013),Recycling gone bad: When the option to recycle increases resource consumption,2013,1,environment,structure,consequence,conventional_lab,1,44,44,22,22,0,9.45,NA,27.9,NA,0.7055,0.0966,1
21,25,35,Wansink & van Ittersum (2003),Bottoms up! The influence of elongation on pouring and consumption volume,2003,1,food,structure,default,natural_field,1,89,89,45,44,0,5.75,NA,6.88,NA,0.7038,0.0477,1
210,330,445,Johnson et al. (2002),"Defaults, framing and privacy: Why opting in-opting out",2002,1,other,structure,default,artefactual_field,1,78,78,39,39,1,0.599,NA,0.892,NA,0.7017665,0.05443895,1
118,167,188,Tannenbaum et al. (2013),Partitioning menu items to nudge single-item choice,2013,1,food,structure,composition,artefactual_field,1,154,154,77,77,1,0.39575,NA,0.736,NA,0.701599,0.02757221,1
30,41,51,Basu & Savani (2017),Choosing one at a time? Presenting options simultaneously helps people make more optimal decisions than presenting options sequentially,2017,0,finance,structure,composition,conventional_lab,1,89,89,45,44,0,44,NA,68.18,NA,0.7003,0.0477,1
72,101,120,Van Kleef et al. (2012),Healthy snacks at the checkout counter: A lab and field study on the impact of shelf arrangement and assortment structure on consumer choice,2012,0,food,structure,composition,conventional_lab,1,158,158,79,79,1,0.139,NA,0.443,NA,0.6924402,0.02683378,0
156,220,248,Antonuk & Block (2006),The effect of single serving versus entire package nutritional information on consumption norms and actual consumption of a snack food,2006,1,food,information,translation,conventional_lab,1,67,67,30,37,0,33.03,17.72,20.81,17.71,0.6898,0.0639,0
210,331,446,Johnson et al. (2002),"Defaults, framing and privacy: Why opting in-opting out",2002,1,other,structure,default,artefactual_field,1,78,78,39,39,1,0.442,NA,0.769,NA,0.6843244,0.05428397,1
76,106,125,Stephen & Lehmann (2016),"How word-of-mouth transmission encouragement affects consumers' transmission decisions, receiver selection, and diffusion speed",2016,1,finance,assistance,reminder,conventional_lab,1,60,60,30,30,0,3.21,NA,3.84,NA,0.6836,0.0706,1
184,317,422,Evans et al. (2011),Trust and self-control: The moderating role of the default,2011,1,finance,structure,default,conventional_lab,1,62,62,31,31,0,8.1,6.03,12.26,6.42,0.6679,0.0681,0
77,107,126,Wansink et al. (2006),"Ice cream illusions: Bowls, spoons, and self-served portion sizes",2006,1,food,structure,default,framed_field,1,85,37,17,20,0,5.81,2.26,4.38,2.05,0.6656,0.1148,0
197,272,429,Bucher et al. (2013),Vegetable variety: An effective strategy to increase vegetable choice in children,2013,0,food,structure,composition,artefactual_field,0,100,68,34,34,0,5.6,6.3,10.9,9.5,0.6575,0.062,0
91,305,382,Ganzach & Karsahi (1995),Message framing and buying behavior: A field experiment,1995,0,finance,information,translation,natural_field,1,117,117,55,62,1,0.236,NA,0.548,NA,0.6523919,0.03612972,0
138,197,224,Marek (2018),Social learning under the labeling effect: Exploring travellers' behavior in social dilemmas,2018,0,environment,structure,composition,conventional_lab,1,120,120,60,60,0,10.27667,2.236351,11.76502,2.350689,0.6487,0.0351,0
127,179,202,Handgraaf et al. (2013),Public praise vs. private pay: Effects of rewards on energy conservation in the workplace,2013,0,environment,information,visibility,framed_field,1,32,32,16,16,0,0.43,4.27,3.74,6.05,0.6321,0.1312,0
77,303,369,Wansink et al. (2006),"Ice cream illusions: Bowls, spoons, and self-served portion sizes",2006,1,food,structure,default,framed_field,1,85,48,22,26,0,6.58,2.91,5.07,1.84,0.6321,0.0881,0
214,343,458,Johnson et al. (1993),"Framing, probability distortions, and insurance decisions",1993,1,finance,structure,default,artefactual_field,1,136,136,74,62,1,0.23,NA,0.53,NA,0.6304732,0.03110393,0
202,283,321,Saulais et al. (2016),"When are ""Dish of the Day"" nudges most effective to increase vegetable selection?",2016,0,food,assistance,reminder,framed_field,1,120,120,60,60,1,0.233,NA,0.533,NA,0.6293726,0.03498379,0
98,135,156,Zarghamee et al. (2017),Nudging charitable giving: Three field experiments,2017,1,pro-social,structure,default,framed_field,1,187,187,69,118,0,0.51,0.41,0.76,0.39,0.629,0.024,0
149,212,408,Brook & Servatka (2016),The anticipatory effect of nonverbal communication,2016,0,pro-social,information,visibility,conventional_lab,1,94,62,30,32,0,2.67,2.15,4.09,2.37,0.6266,0.0677,0
34,47,58,Frydman & Rangel (2014),Debiasing the disposition effect by reducing the saliency of information about a stock's purchase price,2014,1,finance,information,visibility,conventional_lab,1,58,58,33,25,0,6.8,NA,-9,NA,0.6247,0.0737,0
197,272,309,Bucher et al. (2013),Vegetable variety: An effective strategy to increase vegetable choice in children,2013,0,food,structure,composition,artefactual_field,0,100,66,32,34,0,5.9,6.5,10.9,9.5,0.6108,0.0635,0
155,219,247,Meyerowitz & Chaiken (1987),"The effect of message framing on breast self-examination, attitudes, intentions, and behavior",1987,1,health,information,translation,conventional_lab,1,44,44,21,23,0,NA,NA,NA,NA,0.6091,0.0953,1
133,190,214,Kersbergen et al. (2018),Reducing the standard serving size of alcoholic beverages prompts reductions in alcohol consumption,2018,0,food,structure,default,framed_field,1,164,164,77,87,0,2.93,2.193741,1.7,1.865476,0.6071,0.0256,0
157,221,249,Neale & Bazerman (1985),The effects of framing and negotiators overconfidence on bargaining behaviors and outcomes,1985,1,other,information,translation,conventional_lab,1,100,100,50,50,0,0.786,2.3,-0.755,2.8,0.6014,0.0418,1
55,78,359,McCalley & Midden (2002),Energy conservation through product-integrated feedback: The roles of goal-setting and social orientation,2002,0,environment,assistance,commitment,artefactual_field,1,75,50,25,25,0,NA,NA,NA,NA,0.5971,0.0836,0
73,102,121,Small & Loewenstein (2003),Helping a victim or helping the victim: Altruism and identifiability,2003,1,pro-social,information,visibility,conventional_lab,1,76,76,37,39,0,2.12,1.79,3.42,2.51,0.5937,0.055,0
115,159,180,Bohm et al. (2016),Outcome valence and externality valence framing in public good dilemmas,2016,0,pro-social,information,translation,conventional_lab,1,160,160,80,80,0,6.63,4.69,9.63,5.4,0.5932,0.0261,1
161,227,410,Miller et al. (2016),The effects of pre-ordering and behavioral nudges on national school lunch program participants' food item selection,2016,1,food,assistance,commitment,framed_field,0,133,133,98,35,1,NA,NA,NA,NA,0.5860986,0.04006691,0
180,253,285,Dogruel et al. (2017),The valuation of privacy premium features for smartphone apps: The influence of defaults and expert recommendations,2017,1,other,structure,default,artefactual_field,1,126,126,62,64,0,1.6,1.44,2.4,1.3,0.5837,0.0331,0
89,123,142,Wansink et al. (2017),Larger partitions lead to larger sales: Divided grocery carts alter purchase norms and increase sales,2017,1,food,structure,composition,artefactual_field,1,107,70,36,34,0,5.61,3.99,8.26,5.23,0.5719,0.0595,0
209,327,442,Jin (2011),Improving response rates in web surveys with default setting: The effects of default on web survey participation and permission,2011,1,other,structure,default,framed_field,1,124,124,62,62,1,0.354,NA,0.636,NA,0.5717881,0.03357638,1
176,314,414,Gartner (2018),The prosociality of intuitive decision depends on the status quo,2018,1,pro-social,structure,default,artefactual_field,1,405,405,269,136,1,0.4981,NA,0.7647,NA,0.5616932,0.01145992,0
168,238,269,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,0,environment,structure,default,artefactual_field,1,945,945,473,472,1,0.47,NA,0.74,NA,0.5606908,0.004399144,1
180,315,415,Dogruel et al. (2017),The valuation of privacy premium features for smartphone apps: The influence of defaults and expert recommendations,2017,1,other,structure,default,artefactual_field,1,116,116,63,53,0,1.89,1.37,2.64,1.3,0.5603,0.0361,0
50,70,82,Engell et al. (1996),Effects of effort and social modeling on drinking in humans,1996,1,food,structure,effort,framed_field,1,60,60,30,30,0,307,149,226,142,0.5565,0.0692,1
