UID,Study_ID,Dependent_Variable,Study ,Short_name,Publication_Year,Effect_size,Standard_error,Lower_CI,Upper_CI,Sample_size,Covariates ,T_value,PCC,Standardised_effect_size,Standarised_se,var,Precision,Standardised_T,weights,Control_gender,Control_race,Control_income,Control_education,Homicide,Violent,Non_Violent,Both,Area_dummy,OLS,ML,Odds_Ratio,Panel_dummy,Endogeneity,North_America,Europe,Direct_Lead_Measure,Rep_estimate,Elasticity,Elasticity_SE
11,2,Violent offence,"Beckley, A. L., Caspi, A., Broadbent, J., Harrington, H., Houts, R. M., Poulton, R., … Moffitt, T. E. (2018). Association of Childhood Blood Lead Levels With Criminal Offending. JAMA PEDIATRICS, 172(2), 166–173. https://doi.org/10.1001/jamapediatrics.2017.4005",Beckley et al. (2018),2018,1.2,0.15279591,0.89,1.62,553,2,,0.050196213,0.050238436,0.041961307,0.001760751,23.83147893,1.196249988,567.939388,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,,
12,2,"Violent offence, male","Beckley, A. L., Caspi, A., Broadbent, J., Harrington, H., Houts, R. M., Poulton, R., … Moffitt, T. E. (2018). Association of Childhood Blood Lead Levels With Criminal Offending. JAMA PEDIATRICS, 172(2), 166–173. https://doi.org/10.1001/jamapediatrics.2017.4005",Beckley et al. (2018),2018,1.13,0.162424967,0.82,1.55,553,3,,0.033671951,0.033684686,0.044698662,0.00199797,22.37203436,0.753310052,500.5079214,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,,
13,3,Arrested for violent crime,"Billings, S. B., & Schnepel, K. T. (2018). Life after lead: Effects of early interventions for children exposed to lead. American Economic Journal: Applied Economics. https://doi.org/10.1257/app.20160056",Billings & Schnepel (2018),2018,0.076,0.027,,,301,16,2.814814815,0.164464798,0.16597219,0.058428284,0.003413864,17.11499876,2.814814815,292.9231824,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,
14,3,School crime,"Billings, S. B., & Schnepel, K. T. (2018). Life after lead: Effects of early interventions for children exposed to lead. American Economic Journal: Applied Economics. https://doi.org/10.1257/app.20160056",Billings & Schnepel (2018),2018,1.219,0.607,,,301,16,2.008237232,0.118124855,0.118678918,0.05882017,0.003459812,17.00097105,2.008237232,289.0330168,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,,
15,3,Arrested,"Billings, S. B., & Schnepel, K. T. (2018). Life after lead: Effects of early interventions for children exposed to lead. American Economic Journal: Applied Economics. https://doi.org/10.1257/app.20160056",Billings & Schnepel (2018),2018,0.073,0.043,,,301,16,1.697674419,0.100056907,0.10039283,0.05893763,0.003473644,16.96708868,1.697674419,287.8820984,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,,
16,3,Arrested for property crime,"Billings, S. B., & Schnepel, K. T. (2018). Life after lead: Effects of early interventions for children exposed to lead. American Economic Journal: Applied Economics. https://doi.org/10.1257/app.20160056",Billings & Schnepel (2018),2018,0.017,0.037,,,301,16,0.459459459,0.027205955,0.027212671,0.059212962,0.003506175,16.88819419,0.459459459,285.211103,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,,
17,3,Property crime,"Billings, S. B., & Schnepel, K. T. (2018). Life after lead: Effects of early interventions for children exposed to lead. American Economic Journal: Applied Economics. https://doi.org/10.1257/app.20160056",Billings & Schnepel (2018),2018,0.125979612,0.23813377,,,301,0,,0.061478133,0.061555763,0.247947843,0.061478133,4.033106262,0.247947843,16.26594612,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,,
18,3,Violent crime,"Billings, S. B., & Schnepel, K. T. (2018). Life after lead: Effects of early interventions for children exposed to lead. American Economic Journal: Applied Economics. https://doi.org/10.1257/app.20160056",Billings & Schnepel (2018),2018,0.335198507,0.268497616,,,301,0,,0.16172954,0.163162182,0.402156114,0.16172954,2.486596535,0.402156114,6.183162329,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,,
19,3,Arrested,"Billings, S. B., & Schnepel, K. T. (2018). Life after lead: Effects of early interventions for children exposed to lead. American Economic Journal: Applied Economics. https://doi.org/10.1257/app.20160056",Billings & Schnepel (2018),2018,0.29337928,0.340855701,,,301,0,,0.141987336,0.142953221,0.37681207,0.141987336,2.653842806,0.37681207,7.042881639,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,,
20,3,School reported crime,"Billings, S. B., & Schnepel, K. T. (2018). Life after lead: Effects of early interventions for children exposed to lead. American Economic Journal: Applied Economics. https://doi.org/10.1257/app.20160056",Billings & Schnepel (2018),2018,0.261045042,5.66951966,,,301,0,,0.126604558,0.127287575,0.355815343,0.126604558,2.810446544,0.355815343,7.898609779,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,,
21,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,2.302766,0.3944761,,,17191,874,5.837529828,0.045651593,0.045683346,0.007820361,6.12E-05,127.8713289,5.837529828,16351.07675,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.403994035,0.069206333
22,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.949654,0.3432755,,,17191,874,5.679560586,0.044418687,0.044447935,0.007820796,6.12E-05,127.8642147,5.679560586,16349.25741,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.342044561,0.060223772
23,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,2.254316,0.4192103,,,17191,874,5.377530085,0.042060864,0.042085694,0.007821595,6.12E-05,127.851155,5.377530085,16345.91783,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.395494035,0.073545667
24,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,2.539162,0.4780513,,,17191,874,5.311484353,0.041545179,0.041569106,0.007821764,6.12E-05,127.8483941,5.311484353,16345.21187,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.445467018,0.083868649
25,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,2.505689,0.4883421,,,17191,874,5.131011641,0.040135877,0.04015745,0.007822215,6.12E-05,127.8410235,5.131011641,16343.32728,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.439594561,0.085674053
26,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.766642,0.3533542,,,17191,874,4.999634927,0.039109813,0.039129772,0.007822534,6.12E-05,127.8358179,4.999634927,16341.99635,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.309937193,0.061991965
27,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.897886,0.3831529,,,17191,874,4.953338471,0.038748204,0.038767614,0.007822644,6.12E-05,127.8340157,4.953338471,16341.53556,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.332962456,0.067219807
28,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.952797,0.3946585,,,17191,874,4.94806776,0.038707035,0.038726383,0.007822657,6.12E-05,127.8338115,4.94806776,16341.48337,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.342595965,0.069238333
29,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.748641,0.3570779,,,17191,874,4.897085482,0.038308806,0.038327563,0.007822777,6.12E-05,127.8318483,4.897085482,16340.98145,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.306779123,0.062645246
30,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,3.483773,0.7173447,,,17191,874,4.856483919,0.037991649,0.038009944,0.007822871,6.12E-05,127.8302994,4.856483919,16340.58544,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.611188246,0.125849947
31,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.972567,0.4171729,,,17191,874,4.728415964,0.03699118,0.037008066,0.007823165,6.12E-05,127.8254979,4.728415964,16339.35792,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.346064386,0.073188228
32,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.622578,0.3434256,,,17191,874,4.724685638,0.036962037,0.036978883,0.007823174,6.12E-05,127.82536,4.724685638,16339.32265,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.284662807,0.060250105
33,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,2.969548,0.6382833,,,17191,874,4.652398081,0.036397274,0.036413359,0.007823336,6.12E-05,127.8227085,4.652398081,16338.64481,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.520973333,0.111979526
34,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,2.500797,0.5439683,,,17191,874,4.597321204,0.035966949,0.035982471,0.007823458,6.12E-05,127.8207157,4.597321204,16338.13536,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.438736316,0.095433035
35,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,2.755945,0.615192,,,17191,874,4.479812806,0.035048771,0.035063133,0.007823713,6.12E-05,127.8165432,4.479812806,16337.06872,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.483499123,0.107928421
36,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,2.090817,0.4786279,,,17191,874,4.368355877,0.034177796,0.034191113,0.00782395,6.12E-05,127.8126853,4.368355877,16336.08253,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.36681,0.083969807
37,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,2.569522,0.5966095,,,17191,874,4.306874094,0.033697316,0.033710079,0.007824077,6.12E-05,127.8105988,4.306874094,16335.54916,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.450793333,0.104668333
38,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.619191,0.3821283,,,17191,874,4.23729674,0.03315354,0.033165695,0.00782422,6.12E-05,127.8082731,4.23729674,16334.95468,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.284068596,0.067040053
39,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.511503,0.3571664,,,17191,874,4.231929431,0.033111591,0.0331237,0.007824231,6.12E-05,127.8080953,4.231929431,16334.90923,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.265175965,0.062660772
40,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.925244,0.4741437,,,17191,874,4.060465213,0.031771399,0.031782095,0.007824571,6.12E-05,127.8025328,4.060465213,16333.48738,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.337762105,0.083183105
41,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,2.534995,0.6494762,,,17191,874,3.903137636,0.030541549,0.030551051,0.007824871,6.12E-05,127.797631,3.903137636,16332.23448,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.444735965,0.113943193
42,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.465827,0.3822931,,,17191,874,3.834301482,0.030003404,0.030012412,0.007824999,6.12E-05,127.7955471,3.834301482,16331.70187,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.257162632,0.067068965
43,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.475831,0.4423465,,,17191,874,3.336368661,0.026109935,0.026115871,0.007825854,6.12E-05,127.7815767,3.336368661,16328.13136,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.258917719,0.077604649
44,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.157884,0.3559146,,,17191,874,3.253263564,0.025459994,0.025465497,0.007825986,6.12E-05,127.7794339,3.253263564,16327.58372,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.203137544,0.062441158
45,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.361931,0.4476792,,,17191,874,3.042202988,0.023809205,0.023813706,0.007826304,6.13E-05,127.7742345,3.042202988,16326.255,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.238935263,0.078540211
46,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.189176,0.3915685,,,17191,874,3.03695522,0.023768158,0.023772635,0.007826312,6.13E-05,127.7741097,3.03695522,16326.2231,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.208627368,0.068696228
47,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.991098,0.6832096,,,17191,874,2.914329658,0.022808962,0.022812919,0.007826487,6.13E-05,127.7712539,2.914329658,16325.49332,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.349315439,0.119861333
48,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.334387,0.4579007,,,17191,874,2.914140555,0.022807483,0.022811439,0.007826487,6.13E-05,127.7712496,2.914140555,16325.49222,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.234102982,0.080333456
49,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.268707,0.4467872,,,17191,874,2.839622532,0.02222456,0.02222822,0.00782659,6.13E-05,127.7695717,2.839622532,16325.06346,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.222580175,0.078383719
50,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.112299,0.3925962,,,17191,874,2.833188401,0.022174228,0.022177863,0.007826598,6.13E-05,127.7694289,2.833188401,16325.02696,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.195140175,0.068876526
51,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.044329,0.375519,,,17191,874,2.78102839,0.021766187,0.021769626,0.007826669,6.13E-05,127.7682829,2.78102839,16324.73412,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.183215614,0.065880526
52,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.105354,0.4341604,,,17191,874,2.545957669,0.019927131,0.019929769,0.007826969,6.13E-05,127.7633825,2.545957669,16323.4819,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.193921754,0.076168491
53,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.307024,0.3859533,,,17191,874,3.386482251,0.026501843,0.02650805,0.007825774,6.12E-05,127.782895,3.386482251,16328.46826,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.229302456,0.067711105
54,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.309175,0.5211374,,,17191,874,2.512149387,0.019662618,0.019665152,0.00782701,6.13E-05,127.7627132,2.512149387,16323.31089,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.229679825,0.091427614
55,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,0.8427528,0.3764894,,,17191,874,2.238450272,0.01752107,0.017522863,0.007827321,6.13E-05,127.7576247,2.238450272,16322.01066,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.147851368,0.066050772
56,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.053464,0.473011,,,17191,874,2.227144823,0.017432605,0.017434372,0.007827334,6.13E-05,127.7574271,2.227144823,16321.96017,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.184818246,0.082984386
57,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,0.8849023,0.4254818,,,17191,874,2.079765339,0.016279334,0.016280772,0.007827486,6.13E-05,127.7549429,2.079765339,16321.32542,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.155246018,0.07464593
58,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,0.8418221,0.4054188,,,17191,874,2.076425908,0.016253201,0.016254633,0.007827489,6.13E-05,127.7548885,2.076425908,16321.31154,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.147688088,0.071126105
59,4,Violent crime,"Curci, F., & Masera, F. (n.d.). FLIGHT FROM URBAN BLIGHT: LEAD POISONING, CRIME AND SUBURBANIZATION. Retrieved from http://www.ieb.ub.edu",Curci & Masera (2018),2018,1.069112,0.5599734,,,17191,874,1.909219259,0.014944698,0.014945811,0.007827649,6.13E-05,127.7522803,1.909219259,16320.64512,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0.187563509,0.098240947
